Part 14 Speakers:
Speaker 1: A.A. MAHARAJ
Speaker 2: C.J. SINGH
Speaker 3: I.B. SERUIRATU
Speaker 4: J. USAMATE
Speaker 5: K.K. LAL
Speaker 6: M.S.N. KAMIKAMICA
Speaker 7: N.T. TUINACEVA
Speaker 8: OPPOSITION MEMBERS
Speaker 9: P.K. BALA
Speaker 10: R.R. SHARMA
Speaker 11: S.L. RABUKA
Speaker 12: V.  NATH
Speaker 13: V. PILLAY

