Part 12 Speakers:
Speaker 1: A.M.  RADRODRO
Speaker 2: A.V.B.C. BAINIVALU
Speaker 3: F.S.  KOYA
Speaker 4: H. CHAND
Speaker 5: I. NAIVALURUA
Speaker 6: I.B. SERUIRATU
Speaker 7: J. USAMATE
Speaker 8: M.D.  BULITAVU
Speaker 9: M.S.N. KAMIKAMICA
Speaker 10: OPPOSITION MEMBER
Speaker 11: OPPOSITION MEMBERS
Speaker 12: P.D. KUMAR
Speaker 13: S.L. RABUKA
Speaker 14: V. NAUPOTO

